fecha,modelo,predictores,nombre_prueba,score_train,rmse_sol,config
20250528-1705,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['categoria', 'imputo_surface_total', 'bathrooms', 'imputo_surface_covered', 'surface_total', 'bedrooms', 'total-cov', 'a_nuevo', 'lon', 'precio_xmxbxp', 'surface_covered', 'lujos', 'sfc_x_bath', 'room-bed', 'lat', 'duplex', 'precio_xmxbxp_std', 'sup_x_room', 'rooms']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_filDpto_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_sfcMalDec_precio_xbxmxp_impPrecio_dropOut_dums,65985.1879860802,56430.31390658914,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2dpto': False, 'filDpto': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'sfcMalDec': True, 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': False, 'dropOut': True, 'minmax': {'rooms': [1, 10], 'bedrooms': [0, 10], 'bathrooms': [1, 7], 'surface_total': [10, 700], 'surface_covered': [10, 700], 'price': [10000, inf], 'sup_x_room': [15, 300], 'room-bed': [0, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [500, inf]}, 'otros': {'sigma': 1.5, 'diff_pm2': 4000}, 'dums': True}"
20250528-1708,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['corrijo_bedrooms', 'lat', 'precio_xmxbxp_std', 'total-cov', 'room-bed', 'surface_covered', 'rooms', 'surface_total', 'sup_x_room', 'imputo_surface_total', 'bedrooms', 'precio_estimado', 'precio_xmxbxp', 'sfc_x_bath', 'is_barrio_ok', 'a_nuevo', 'bathrooms', 'lujos', 'lon', 'imputo_surface_covered', 'duplex']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_filDpto_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_sfcMalDec_precio_xbxmxp_impPrecio_precio_estimado_dropOut_dums,64774.99143352111,44618.27045269428,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2dpto': False, 'filDpto': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'sfcMalDec': True, 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 10], 'bedrooms': [0, 10], 'bathrooms': [1, 7], 'surface_total': [10, 700], 'surface_covered': [10, 700], 'price': [10000, inf], 'sup_x_room': [15, 300], 'room-bed': [0, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [500, inf]}, 'otros': {'sigma': 1.5, 'diff_pm2': 4000}, 'dums': True}"
20250528-1710,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['imputo_surface_covered', 'is_barrio_ok', 'precio_xmxbxp', 'total-cov', 'imputo_surface_total', 'lon', 'sup_x_room', 'bedrooms', 'rooms', 'precio_estimado', 'bathrooms', 'a_nuevo', 'lujos', 'duplex', 'precio_xmxbxp_std', 'surface_total', 'lat', 'sfc_x_bath', 'room-bed', 'surface_covered']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_barrioMej_dropGeoNans_impL3wBarrioOK_impLatloncL3_osm_filDpto_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_sfcMalDec_precio_xbxmxp_impPrecio_precio_estimado_dropOut_dums,55521.49799481308,44487.45014159961,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': True, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': True, 'ph2dpto': False, 'filDpto': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'sfcMalDec': True, 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 10], 'bedrooms': [0, 10], 'bathrooms': [1, 7], 'surface_total': [10, 700], 'surface_covered': [10, 700], 'price': [10000, inf], 'sup_x_room': [15, 300], 'room-bed': [0, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [500, inf]}, 'otros': {'sigma': 1, 'diff_pm2': 4000}, 'dums': True}"
20250528-1719,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['duplex', 'imputo_surface_covered', 'a_nuevo', 'lujos', 'rooms', 'precio_estimado', 'bedrooms', 'bathrooms', 'sup_x_room', 'surface_total', 'sfc_x_bath', 'total-cov', 'surface_covered', 'imputo_surface_total', 'lat', 'precio_xmxbxp', 'precio_xmxbxp_std', 'lon']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_dropGeoNans_impL3wBarrioOK_impLatloncL3_filDpto_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_sfcMalDec_precio_xbxmxp_impPrecio_precio_estimado_dropOut_dums,54947.27858398486,39429.34178309018,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': False, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': True, 'osm': False, 'ph2dpto': False, 'filDpto': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'sfcMalDec': True, 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 10], 'bedrooms': [0, 10], 'bathrooms': [1, 7], 'surface_total': [10, 700], 'surface_covered': [10, 700], 'price': [10000, inf], 'sup_x_room': [15, 300], 'room-bed': [0, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [500, inf]}, 'otros': {'sigma': 1, 'diff_pm2': 4000}, 'dums': True}"
20250528-1721,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_jobs': -1, 'random_state': 42}","['total-cov', 'bedrooms', 'precio_xmxbxp_std', 'rooms', 'sup_x_room', 'lujos', 'sfc_x_bath', 'imputo_surface_covered', 'a_nuevo', 'lat', 'surface_total', 'bathrooms', 'surface_covered', 'precio_xmxbxp', 'precio_estimado', 'duplex', 'imputo_surface_total', 'lon']",filDatos_filDup_ars2usd_dePedo_invLatLon_barrioOK_dropGeoNans_impL3wBarrioOK_filDpto_tr_mal2nan_amb_impAmbs_mal2nan_sfc_impSfc_sfcMalDec_precio_xbxmxp_impPrecio_precio_estimado_dropOut_dums,54868.7506085738,39744.14197794578,"{'filDatos': True, 'filDup': True, 'ars2usd': True, 'dePedo': True, 'invLatLon': True, 'barrioOK': True, 'barrioMej': False, 'dropGeoNans': True, 'impL3wBarrioOK': True, 'impLatloncL3': False, 'osm': False, 'ph2dpto': False, 'filDpto': True, 'tr': True, 'mal2nan_amb': True, 'impAmbs': True, 'ams2imp': ['rooms', 'bedrooms', 'bathrooms'], 'mal2nan_sfc': True, 'impSfc': True, 'sfc2imp': ['surface_total', 'surface_covered', 'invierto_surface'], 'sfcMalDec': True, 'precio_xbxmxp': True, 'impPrecio': True, 'precio_estimado': True, 'dropOut': True, 'minmax': {'rooms': [1, 10], 'bedrooms': [0, 10], 'bathrooms': [1, 7], 'surface_total': [10, 700], 'surface_covered': [10, 700], 'price': [10000, inf], 'sup_x_room': [15, 300], 'room-bed': [0, 10], 'sfc_x_bath': [10, 300], 'precio_m2': [500, 10000], 'precio_xmxbxp': [500, inf]}, 'otros': {'sigma': 1, 'diff_pm2': 4000}, 'dums': True}"
